cubename	galaxy	ra	dec	Type	a_v	D_ang (arcmin)	D_lin (kpc)	z	d (Mpc)	seeing	Lin Esc (pc)	D_25_B	r/R_25_B	t_e	Incl	PA	A++	ut	bt	vt	rt	it	mabs
SN2009D	MCG-03-10-052	03h54m24.67s	-19d11m25.1s	Sb	0.13702	1.53	45.71	0.02528	108.246	1.04	545.79		0.44	3.0	68.34				14.845		13.34	13.033	-21.098
SN2004ff	ESO552-G40	04h58m47.06s	-21d34m09.9s	SB(s)ab pec	0.08432	1.94	40.82	0.02258	96.687	1.17	548.44	1.55	0.603	2.0	56.5	50			14.31		13.05	12.206	-21.051
ESO602-G025	ESO602-25	22h31m25.48s	-19d02m04.1s	(R')SB(rs)bc pec	0.12462	1.8	44.15	0.02461	105.381	1.09	556.88		0.490	4.0	63.55	171			14.264	14.3	12.9	12.447	-21.781
SN2001da	NGC7780	23h53m32.17s	08d07m05.3s	Sab	0.15562	1.1	23.67	0.01739	74.464	1.55	559.57		0.537	1.0	63.29	3		15.702	14.824	13.914	13.468	12.92	-20.219
SN2009I	NGC1080	02h45m09.94s	-04d42m38.8s	SAB(s)c	0.08432	1.15	28.54	0.02626	112.444	1.06	577.85		0.724	5.0	44.77			14.52	14.14	13.58	12.857	12.5	-21.5
ASASSN-14ig	ESO113-32	01h16m04.94s	-61d37m19.8s	Sb	0.05456	2.49	90.67	0.02902	124.29	0.99	596.55	1.18	0.295	3.0	81.45	58			14.43		13.0	13.18	-21.92
ASASSN-14co	CGCG023-005	15h57m30.27s	01d06m43.1s	Sc	0.25296	0.7	31.93	0.03331	142.671	0.89	615.6	10.47	0.59	5.0	55.52				15.474			14.11	-20.883
SN2007ai	ESO584-7	16h12m53.36s	-21d37m24.0s	Sc	0.8866	1.7	65.62	0.03171	135.802	0.94	618.88	6.92	0.72	5.0	45.12				14.87		13.66	13.0	-22.52
SN2008bq	ESO308-25	06h41m03.10s	-38d02m08.4s	Sa	0.24056	2.38	78.84	0.0343	146.907	0.9	641.0	2.76	0.3	1.0	90.0				14.86		13.52	12.815	-21.953
SN2008gg	NGC539	01h25m21.73s	-18d09m49.9s	SB(rs)c	0.06014	2.17	87.67	0.03211	137.498	1.04	693.27	9.12	0.851	5.0	32.43	145			14.293	13.623	13.14	14.0	-21.702
ASASSN-14hr	2MASXJ015041.27-143103.2	01h50m41.27s	-14d31m03.1s	Sb	0.04061	1.73	45.41	0.03342	143.121	1.04	721.62	11.22	0.65	3.0	51.86		NEW OBJ.		15.59				-20.434
SN2013fy	ESO287-G040	21h37m28.18s	-47d02m09.0s	(R)SAB(r)bc pec	0.0713	1.57	43.48	0.03104	132.919	1.17	753.96	12.59	0.794	4.0	38.64	119			14.3		13.01		-21.679
SN2011hb	NGC7674	23h27m56.72s	08d46m44.5s	SA(r)bc pec	0.15717	1.15	24.9	0.02907	124.478	1.26	760.39	1.95	0.912	3.0	25.12			14.945	13.976	14.19	13.142	12.801	-21.953
SN2004ef	UGC12158	22h42m10.51s	19d59m49.1s	Sb	0.14167	1.3	44.77	0.03105	132.979	1.19	767.2	1.82	0.912	3.0	25.12			16.097	15.246		13.549	13.144	-20.6
iPTF14ans	2MASXJ150429.74+021959.1	15h04m29.73s	02d19m58.9s	Sbc	0.1364	0.75	32.95	0.03212	137.545	1.18	786.87	4.57	0.68	4.0	48.86		NEW OBJ.	16.268	15.229		14.539	13.984	-21.061
ASASSN-14lv	PGC131788	23h32m07.46s	-41d16m09.6s	Sc	0.05425	0.48	25.76	0.04925	210.943	0.84	859.05	3.09	0.46	5.0	65.04		NEW OBJ.						
SN2005iq	ESO538-13	23h58m31.83s	-18d42m50.5s	Sa	0.05735	1.85	80.32	0.03412	146.119	1.29	913.84	4.17	0.48	1.0	68.27				15.477		14.14	13.475	-21.069
SN2013M	ESO325-43	13h59m57.65s	-37d51m48.9s	SAB(s)c pec	0.2232	2.98	107.42	0.03503	150.016	1.32	960.03	3.39	0.794	5.0	38.37	115			14.4		13.26		-22.072
SN2005gn	ESO488-G30	05h48m48.53s	-24d22m44.6s	Sc	0.08122	1.26	40.09	0.04009	171.704	1.35	1123.8	8.32	0.72	5.0	45.12				14.615		13.58	12.695	-22.006
PSNJ10292799+2200468	UGC5691	10h29m27.49s	22d00m28.6s	Sbc	0.0713	1.1	78.5	0.05451	233.461	1.01	1143.17	2.95	0.78	4.0	39.99			16.508	15.479		14.403	14.118	-21.898
SN2005lu	MCG-03-07-040	02h36m03.63s	-17d15m46.6s	Sbc	0.06758	2.27	85.66	0.03206	137.322	1.79	1191.7		0.5	4.0	62.81				14.5		13.96	13.865	-22.095
SN2006ob	UGC1333	01h51m48.51s	00d15m49.8s	Sb	0.08835	1.5	111.11	0.05925	253.731	1.31	1611.46	7.41	0.794	3.0	38.99	1		17.406	15.549		14.341	13.617	-22.009
NGC0628	NGC0628	01h36m41.75s	15d47m01.2s	SA(s)c	0.18817	12.0	26.16	0.002094	8.968	0.72	31.3	3.72	0.912	5.0	24.76	25			10.0	9.306		8.839	-20.677
CIRCINUS	ESO97-13	14h13m09.95s	-65d20m21.2s	SA(s)b	3.11457	11.54	14.11	0.001514	6.484	1.01	31.75	2.19	0.437	3.0	68.57	40	NEW OBJ.	12.789	12.0	10.559		8.21	-18.866
NGC4984	NGC4984	13h08m57.23s	-15d30m58.7s	(R)SAB0^+(rs)	0.16399	2.76	17.07	0.004235	18.137	0.56	49.24	2.51	0.794	-1.0	42.05	90		12.543	12.0	11.005		9.72	-19.345
NGC3627	NGC3627	11h20m14.96s	12d59m29.5s	SAB(s)b	0.08897	9.33	26.12	0.002657	11.379	0.95	52.41	3.47	0.457	3.0	67.01	173	NEW OBJ.	9.935	10.0	10.312		7.81	-21.21
NGC1365	NGC1365	03h33m36.37s	-36d08m25.4s	SB(s)b	0.05456	14.0	67.44	0.003703	15.859	0.85	65.35	2.63	0.550	3.0	59.81	32		10.518	10.0	10.103		8.38	-21.364
SN2016iae	NGC1532	04h12m04.33s	-32d52m27.2s	SB(s)b pec edge-on	0.0403	22.0	114.47	0.004039	17.298	1.0	83.86		0.263	3.0	86.86	33	NEW OBJ.	10.809	11.0	10.129		8.707	-21.537
SN2016aqf	NGC2101	05h46m24.17s	-52d05m18.7s	IB(s)m pec	0.14632	3.33	11.73	0.003976	17.028	1.06	87.51	3.16	0.646	9.0	50.29	85	NEW OBJ.	13.43	14.0	13.27		12.9	-17.664
SN1992ba	NGC2082	05h41m51.12s	-64d18m04.1s	SB(r)b	0.155	1.95	10.16	0.003961	16.964	1.15	94.58		0.933	3.0	21.87		NEW OBJ.	12651.0	12.751	12.19		10.985	-18.308
SN2017gmr	NGC988	02h35m27.75s	-09d21m22.3s	SB(s)cd	0.07161	5.0	22.22	0.005128	21.962	0.9	95.83	2.69	0.537	5.0	59.46			10.769	11.0	11.205		7.03	-20.869
SN2016X	UGC08041	12h55m12.65s	00d06m59.9s	SB(s)d	0.05859	3.7	16.46	0.004532	19.409	1.03	96.92	2.69	0.603	7.0	53.89	165	NEW OBJ.	15.43	12.938			12.581	-18.526
SN2007bm	NGC3672	11h25m02.47s	-09d47m43.4s	SA(s)c	0.11005	4.27	30.9	0.006298	26.973	0.8	104.61	2.40	0.468	5.0	64.46	12	NEW OBJ.		12.0	11.342		10.215	-20.404
